nct_id,first_submitted_date,first_posted_date,results_first_posted_date,last_update_posted_date,actual_study_start_date,anticipated_study_start_date,actual_primary_completion_date,anticipated_primary_completion_date,large_doc_date,extraction_date
NCT04096196,"September 13, 2019","September 19, 2019",,"September 19, 2019",,"September 1, 2020",,"August 31, 2023",,Mon Jul 27 11:41:31 2020
NCT03981133,"June 6, 2019","June 10, 2019",,"June 10, 2019",,January 2020,,December 2022,,Mon Jul 27 11:41:32 2020
NCT03752762,"January 8, 2018","November 26, 2018",,"November 26, 2018",,"December 1, 2018",,December 2020,,Mon Jul 27 11:41:32 2020
NCT04104555,"September 19, 2019","September 26, 2019",,"March 24, 2020",,"September 30, 2020",,"November 30, 2022",,Mon Jul 27 11:41:33 2020
NCT03062995,"February 1, 2017","February 24, 2017",,"May 3, 2019",,June 2021,,June 2023,,Mon Jul 27 11:41:34 2020
NCT03174236,"May 15, 2017","June 2, 2017",,"May 19, 2020","September 4, 2017",,,"December 31, 2020",,Mon Jul 27 11:41:35 2020
NCT03932942,"April 23, 2019","May 1, 2019",,"March 18, 2020","May 6, 2019",,,"April 13, 2020",,Mon Jul 27 11:41:36 2020
NCT02606565,"November 12, 2015",,,"March 25, 2020",,,,December 2020,,Mon Jul 27 11:41:36 2020
NCT03770741,"December 7, 2018","December 10, 2018",,"June 26, 2019","June 20, 2019",,,"July 15, 2021",,Mon Jul 27 11:41:37 2020
NCT03181958,"May 28, 2017","June 9, 2017",,"July 22, 2019","January 1, 2018",,,"December 31, 2020",,Mon Jul 27 11:41:38 2020
NCT03168516,"May 18, 2017","May 30, 2017",,"December 21, 2018","July 27, 2018",,,December 2022,,Mon Jul 27 11:41:39 2020
NCT03456336,"February 19, 2018","March 7, 2018",,"May 22, 2020","December 3, 2018",,,"July 31, 2024",,Mon Jul 27 11:41:39 2020
NCT03229538,"July 5, 2017","July 25, 2017",,"July 17, 2020","October 18, 2017",,,"July 28, 2021","April 24, 2017",Mon Jul 27 11:41:40 2020
NCT03340727,"November 3, 2017","November 13, 2017",,"May 22, 2020","February 27, 2019",,,October 2022,,Mon Jul 27 11:41:42 2020
NCT03130114,"April 23, 2017","April 26, 2017",,"May 19, 2020","May 13, 2017",,"January 15, 2020",,"May 14, 2020; December 21, 2018",Mon Jul 27 11:41:43 2020
